200427_OS-Hellma_Küvette.csv;ohne Inhalt;Patrick;27.04.2020 17:46:06;Lambda 19 UV/Vis/NIR;XXX;Rev. 9B/9C
nm;A
1872;0,075358
1873;0,076473
1874;0,075729
1875;0,075633
1876;0,076032
1877;0,076506
1878;0,075696
1879;0,075837
1880;0,075449
1881;0,07554
1882;0,076033
1883;0,076493
1884;0,075711
1885;0,07555
1886;0,075373
1887;0,075708
1888;0,076052
1889;0,075504
1890;0,075234
1891;0,074936
1892;0,074953
1893;0,074973
1894;0,074654
1895;0,075378
1896;0,07551
1897;0,074259
1898;0,074365
1899;0,074335
1900;0,074185
1901;0,075253
1902;0,075067
1903;0,074368
1904;0,074775
1905;0,073103
1906;0,0735
1907;0,07424
1908;0,075188
1909;0,074306
1910;0,074875
1911;0,072927
1912;0,073744
1913;0,073971
1914;0,074673
1915;0,076527
1916;0,075066
1917;0,07446
1918;0,074494
1919;0,07477
1920;0,075673
1921;0,075691
1922;0,075813
1923;0,075601
1924;0,075746
1925;0,075469
1926;0,076483
1927;0,075952
1928;0,076644
1929;0,076751
1930;0,076466
1931;0,07661
1932;0,076416
1933;0,076534
1934;0,077574
1935;0,077309
1936;0,077037
1937;0,077108
1938;0,077046
1939;0,077283
1940;0,078254
1941;0,077576
1942;0,077848
1943;0,077587
1944;0,077016
1945;0,077603
1946;0,078298
1947;0,078184
1948;0,078133
1949;0,077291
1950;0,077116
1951;0,077512
1952;0,077444
1953;0,078005
1954;0,077748
1955;0,077212
1956;0,077308
1957;0,077093
1958;0,077317
1959;0,077441
1960;0,077043
1961;0,07709
1962;0,076707
1963;0,076316
1964;0,076744
1965;0,076309
1966;0,076475
1967;0,076919
1968;0,076193
1969;0,075943
1970;0,076656
1971;0,07576
1972;0,076496
1973;0,076348
1974;0,075311
1975;0,075496
1976;0,075085
1977;0,075403
1978;0,076677
1979;0,076234
1980;0,075684
1981;0,075499
1982;0,07487
1983;0,07549
1984;0,076065
1985;0,076393
1986;0,076339
1987;0,075888
1988;0,074827
1989;0,075763
1990;0,075214
1991;0,076403
1992;0,076474
1993;0,076524
1994;0,076127
1995;0,076255
1996;0,075518
1997;0,077122
1998;0,076657
1999;0,07693
2000;0,077398
