200427_base.csv;leer;Patrick;27.04.2020 17:46:12;Lambda 19 UV/Vis/NIR;XXX;Rev. 9B/9C
nm;A
1917;0,00059
1918;-0,000851
1919;-0,000635
1920;-0,001217
1921;-0,000068
1922;-0,000605
1923;0,00068
1924;0,000999
1925;0,000851
1926;-0,000055
1927;0,000234
1928;-0,000252
1929;0,001295
1930;0,001342
1931;0,001026
1932;0,000706
1933;0,001147
1934;0,000513
1935;0,001696
1936;0,000959
1937;0,001231
1938;0,001585
1939;0,00119
1940;0,001175
1941;0,002026
1942;0,001428
1943;0,001932
1944;0,000774
1945;0,001104
1946;0,001488
1947;0,001667
1948;0,001737
1949;0,001699
1950;0,000432
1951;0,001128
1952;0,000932
1953;0,000998
1954;0,001175
1955;0,000892
1956;0,000426
1957;0,000674
1958;0,000245
1959;0,000288
1960;0,000611
1961;0,000389
1962;-0,000066
1963;-0,00048
1964;-0,000515
1965;-0,000323
1966;-0,000408
1967;-0,000364
1968;-0,000362
1969;-0,001353
1970;-0,000642
1971;-0,001268
1972;-0,000794
1973;-0,00052
1974;-0,001021
1975;-0,001864
1976;-0,001453
1977;-0,002443
1978;-0,001091
1979;-0,000442
1980;-0,000716
1981;-0,001759
1982;-0,001243
1983;-0,002551
1984;-0,000824
1985;-0,000613
1986;-0,000234
1987;-0,000526
1988;-0,000767
1989;-0,00202
1990;-0,000796
1991;-0,000937
1992;0,000237
1993;0,000315
1994;0,000125
1995;-0,000547
1996;-0,000115
1997;-0,000329
1998;0,000685
1999;0,000382
2000;0,001163
